,Description of Filing (Date Filed),,Filer,
4369,"Annual Reconciliation Tariff 
 Filing (Standard Offer, Transition 
 Charge and Transmission Charge)",,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/4369page.html
4368,2013 Demand Side Management Plan,,Pascoag Utiltiy District,http://www.ripuc.ri.gov/eventsactions/docket/4368page.html
4367,2013 System Reliability Procurement Report,,National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4367page.html
4366,2013 Energy Efficiency Program Plan,,National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4366page.html
4365,"Renewable Energy Resources (RES) Certification Application for Generation Unit: Ice House Partners, Inc.",,"Ice House Partners, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4365-IceHouse-Application(10-13-12).pdf
4364,"General Rate Application to collect additional revenues of $12,483,704 or 14.5% to support total revenue requirement of $98,568,187",,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4364page.html
4363,"Renewable Energy Resources (RES) Certification Application for Generation Unit: Noble Chateaugay Windpark, LLC",,"Noble Wind Operations, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4363-Noble-Chataugay(10-12-12).pdf
4362,"Renewable Energy Resources (RES) Certification Application for Generation Unit: Noble Wethersfield Windpark, LLC",,"Noble Wind Operations, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4362-Noble-Wethersfield(10-12-12).pdf
4361,"Renewable Energy Resources (RES) Certification Application for Generation Unit: Noble Altona Windpark, LLC",,"Noble Wind Operations, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4361-Noble-Altona(10-12-12).pdf
4360,"Order designating the PUC to render an Advisory Opinion on need and cost-justification for Narragansett Electric d/b/a National Grid's proposal to construct and alter major energy facilities in Rhode Island, the ""Interstate Reliability Project""",,RI Energy Faciltiy Siting Board,http://www.ripuc.ri.gov/eventsactions/docket/4360page.html
4359,"Proposal to make certain Toll-Free Services, Digital PBX Service and FlexGrow Service available to wholesale customers on an no-resale basis for a limited time",,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4359-VRI(10-4-12).pdf
4358,Proposal to increase the monthly rates for residential services,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4358-VRI(10-4-12).pdf
4357,Renewable Energy Resources (RES) Certification Application for Generation Unit: Hopkinton Hydro Project,,Contoocook Hydro LLC,http://www.ripuc.ri.gov/eventsactions/docket/4357-HopkintonHydro-Application(9-23-12).pdf
4356,Petition for Review Pursuant to RIGL §39-1-30 Regarding Amended Ordinance Adopted by the Town of West Warwick,,National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4356page.html
4355,"Application to Change Rates Based on Cost of Service Study which reflects the Second Phase of Multi-Year Rate Plan to collect additional Debt Service Revenue Requirement of approximately $1,986,710 or 15.5%",,Newport Water Division,http://www.ripuc.ri.gov/eventsactions/docket/4355page.html
4354,Waiver Request for Number Block Release,,Cox RI Telcom,http://www.ripuc.ri.gov/eventsactions/docket/4354-Cox-WaiverRequest(8-29-12).pdf
4353,Extended and Restated Agreement between Verizon RI and MCImetro Access Transmission Services LLC &amp; Brooks Fiber Communications RI and Amendment No. 1,,Verizon Rhode Island,
4352,"Debt Service Compliance Rate Filing to collect additional revenue of $5,877,586 or 7.09% for debt service requirements to support total revenue requirement of $88,766,913",,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4352page.html
4351,Tariff filing to update the Lifeline discount pursuant to FCC Order No. 12-11 (Lifeline Reform Order),,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4351-VRI(8-16-12).pdf
4350,Proposal to modify the eligibility criteria for the Regional Essentials Voice Discount,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4350-VRI(8-17-12).pdf
4349,Renewable Energy Resources (RES) Certification Application for Generation: Ipswich Wind Turbine,,Ipswich Municipal Light Dept.,http://www.ripuc.ri.gov/eventsactions/docket/4349-IpswichTurbine(8-16-12).pdf
4348,Renewable Energy Resources (RES) Certification Application for Generation Unit: Exeter Agri-Energy,,Exeter Agri-Energy,http://www.ripuc.ri.gov/eventsactions/docket/4348-ExeterAgri-Energy(8-2-12).pdf
4347,Administrative filing to correct omission of language in the Regional Essentials section of the tariff that clarifies the grandfathering of certain VAS services,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4347-VRI(8-3-12).pdf
4346,2012 Annual Gas Cost Recovery Reconciliation Filing,,National Grid Gas,http://www.ripuc.ri.gov/eventsactions/docket/4346page.html
4345,Renewable Energy Resources (RES) Certification Application for Generation Unit: Synergy Biogas LLC,,CH4 Biogas LLC,http://www.ripuc.ri.gov/eventsactions/docket/4345-SynergyBiogas(7-31-12).pdf
4344,"Petition for Investigation Regarding YMax Communication’s Tariff Filing dated May 31, 2012 to implement revisions pursuant to FCC’s Order (issued November 18, 2011) Regarding the Treatment of Toll VoIP-PSTN Traffic",,AT&amp;T Corporation,http://www.ripuc.ri.gov/eventsactions/docket/4344page.html
4343,Correction to Back-up Service Retail Delivery Service Rates B-32 and B-62,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4343page.html
4342,"Tariff Advice Filing to Amend 1) Terms &amp; Conditons for Distribution Service, RIPUC No. 2072 and to Amend 2) Terms &amp; Conditions, R.I.P.U.C. NG-Gas No. 101, Section 1M, Schedule A",,National Grid Electric &amp; Gas,http://www.ripuc.ri.gov/eventsactions/docket/4342page.html
4341,"Application for approval of revised rates designed to generate additional revenues of $584,145 or 7.53% over current revenues",,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/4341page.html
4340,Renewable Energy Resources (RES) Certification Application for Generation Unit: Covanta West Enfield,,Covanta Maine LLC,http://www.ripuc.ri.gov/eventsactions/docket/4340page.html
4339,"2012 Annual Distribution Adjustment Charge (""DAC"") Filing",,National Grid Gas,http://www.ripuc.ri.gov/eventsactions/docket/4339page.html
4338,"Tariff Advice Filing to Amend R.I.P.U.C. No. 2081, Long-Term Contracting for Renewable Energy Provision",,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4338page.html
4337,Rules and Regulations Governing the Certification and Verification Procedures for Telecommunications Carriers Eligible to Receive Payments From the Federal Universal Service Fund,,Commission,http://www.ripuc.ri.gov/eventsactions/docket/4337page.html
4336,Tariff filing to increase Regional Essentials and Regional Value Services by $5.00 per month,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4336-VRI 6-14-12.pdf
4335,Renewable Energy Resources (RES) Certification Application for Generation Unit: Sandy Woods Farm 275 kW Vergnet Turbine,,"Sandywoods Home, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4335-Sandywoods-Resubmittal(6-26-12).pdf
4334,"Tariff filing to implement the intercarrier compensation regime for certain VoIP-PSTN traffic, as modified by the FCC's Second Reconsideration Order",,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4334-VRI(6-13-12).pdf
4333,Tariff Advice to revise the On-System Margin Credits Tariff Provisions of the Distribution Adjustment Clause (DAC),,National Grid Gas,http://www.ripuc.ri.gov/eventsactions/docket/4333page.html
4332,Tariff filing to implement the FCC's Step 1 Transitional Intrastate Access Service rate reduction pursuant to FCC's Order,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4332-VRI(6-1-12).pdf
4331,Renewable Energy Resources (RES) Certification Application for Generation Unit: Black Bear Orono B Hydroelectric Project,,Black Bear Development Holdings Inc.,http://www.ripuc.ri.gov/eventsactions/docket/4331page.html
4330,Application for Authority to Operate as a Class VI Telecommunication Service Provider,,"ANPI, LLC",
4329,Proposed changes to the Lifeline and Link-up Programs as required by FCC Order,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4329-VRI(5-22-12).pdf
4328,Tariff filing to grandfather several services for residential purchase as part of a Verizon-wide initiative to streamline the Company's product offerings,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4328-VRI(5-17-12).pdf
4327,"Revenue Decoupling Mechanism (RDM) Reconciliaton Filing for Year Ending March 31, 2012",,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4327page.html
4326,Request for Waiver of NANPA's Deneal of Request for 200 Numbers,,AT&amp;T Corporation,http://www.ripuc.ri.gov/eventsactions/docket/4326-ATT-WaiverRequest(5-9-12).pdf
4325,Renewable Energy Resources (RES) Certification Application for Generation Unit: Granite Reliable Wind Project,,Granite Reliable Wind Power LLC,http://www.ripuc.ri.gov/eventsactions/docket/4325-GraniteReliable-Application(5-8-12).pdf
4324,Renewable Energy Resources (RES) Certification Application for Generation Unit: Berkshire Wind Power Project,,Berkshire Wind Power Cooperative Corp.,http://www.ripuc.ri.gov/eventsactions/docket/4324-BerkshireWind-Application 5-7-12.pdf
4323,Application for Approval to Change Electric and Gas Distribution Rates,,National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4323page.html
4322,Renewable Energy Resources (RES) Certification Application for Generation Unit: Record Hill Wind LLC,,Record Hill Wind LLC,http://www.ripuc.ri.gov/eventsactions/docket/4322-RecordHill-Application(4-13-12).pdf
4321,Proposal to Introduce the Residential Subdivision Extension Policy,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4321page.html
4320,"Request to change rates to collect additional revenues of approximately $813,326 or 10.86% to support total operating revenue requirement of $8,301,954",,Woonsocket Water Division,http://www.ripuc.ri.gov/eventsactions/docket/4320page.html
4319,"Review of Power Purchase Agreement for the potential purchase of renewable power from Black Bear Development Holdings, LLC",,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4319page.html
4318,Long-Range Gas Supply Paln for the forecast period 2011/12 to 2015/16,,National Grid Gas,http://www.ripuc.ri.gov/eventsactions/docket/4318-NGrid-LRGS-Plan(3-8-12).pdf
4317,Filing to eliminate the residential Directory Assistance Monthly Allowance of one (1) call per monthly billing period,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4317-VRI(3-5-12).pdf
4316,Revised Long-Term Contracts for Renewable Energy Projects,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4316page.html
4315,2013 Standard Offer Service Procurement Plan and 2013 Renewable Energy Resource Procurement Plan,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4315page.html
4314,2012 Electric Retail Rate Filing,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4314page.html
4313,Application for authority to operate as Class VI telecommunications service provider,,Q Link Wireless LLC,
4312,Tariff filing to implement rate increase to residential services,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4312-VRI(2-16-12).pdf
4311,Renewable Energy Resources (RES) Certification Application for Generation Unit: Steuben Landfill,,"SREC Generating Co., Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4311page.html
4310,Application for authority to operate as Competitive Local Exchange Carrier,,Liberty Bell Telecom LLC,
4309,Fire Protection Service Charge Tariff Advice Filing,,Woosocket Water Division,http://www.ripuc.ri.gov/eventsactions/docket/4309page.html
4308,"Tariff Advice Filing for Approval of Long-Term Contracting for Renewable Energy Recovery Provision and Amend RIPUC No. 2036, Transmission Service Cost Adjustment Provision",,National Grid - Electric,http://www.ripuc.ri.gov/eventsactions/docket/4308page.html
4307,"FY 2013 Electric Infrastructure, Safety and Reliability (ISR) Plan",,National Grid - Electric,http://www.ripuc.ri.gov/eventsactions/docket/4307page.html
4306,"FY 2013 Gas Infrastructure, Safety and Reliability (ISR) Plan",,National Grid - Gas,http://www.ripuc.ri.gov/eventsactions/docket/4306page.html
4305,"Rate application to collect additional revenues of $1,763,306 or 2.17% for debt service requirements",,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4305page.html
4304,Application for authority to operate as Competitive Local Exchange Carrier,,CapeNet LLC,
4303,Renewable Energy Resources (RES) Certification Application for Generation: Bath Electric Hydro,,"Essex Hydro Associates, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4303-BathElectric(12-16-11).pdf
4302,Tariff filing to clarify remainder of tariffs following the withdrawal of the Company's business services from RI PUC No. 15,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4302-VRI(12-2-11).pdf
4301,Tariff filing to implement intercarrier compensation regime for certain VoIP-PSTN traffic that was mandated by the FCC,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4301-VRI(12-2-11).pdf
4300,Fire Protection Service Charge Tariff Advice Filing,,Pawtucket Water Supply Board,http://www.ripuc.ri.gov/eventsactions/docket/4300page.html
4299,Tariff filing to withdraw Collect and Bill to an Third Number Mechanized Service,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4299-VRI(11-16-11).pdf
4298,"2012 Annual Reconciliation of the Standard Offer Service Rate, Transition Adjustment Factor and Transmission Adjustment Factor",,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/4298page.html
4297,Demand Side Management Program for 2012,,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/4297page.html
4296,System Reliability Plan Report for 2012,,Natonal Grid,http://www.ripuc.ri.gov/eventsactions/docket/4296page.html
4295,Energy Efficiency Program Plan for 2012,,National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4295page.html
4294,Petition for Limited Designation as an Eligible Telecommunications Carrier in RI,,"Budget PrePay, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4294page.html
4293,Petition for Limited Designation as an Eligible Telecommunications Carrier in RI,,Telrite Corporation d/b/a Life Wireless,http://www.ripuc.ri.gov/eventsactions/docket/4293page.html
4292,Renewable Energy Resources (RES) Certification Application for Generation: Putts Bridge Project,,Essential Power LLC,http://www.ripuc.ri.gov/eventsactions/docket/4292page.html
4291,Petition for Modification of Tariff of Global Tel*Link Corporation,,Cellco Partnership d/b/a Verizon Wireless and a Group of Wireless Providers,http://www.ripuc.ri.gov/eventsactions/docket/4291-VerizonWireless-Petiton(10-7-11).pdf
4290,LIHEAP Enhancement Plan Rates Pursuant Henry Shelton Act,,RI Office of Energy Resources,http://www.ripuc.ri.gov/eventsactions/docket/4290page.html
4289,Tariff filing to withdraw the Talking Call Waiting ancillary feature,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4289-VRI(9-30-11).pdf
,"Report and Recommendation Regarding Classes and Ceiling Prices for 2014 submitted pursuant to ""The Distributed Generation Standard Contracts Act""",,RI Distributed Generation Standard Contract Board,http://www.ripuc.ri.gov/eventsactions/docket/4288-2014page.html
,"Report and Recommendation Regarding Classes and Ceiling Prices for 2013 submitted pursuant to ""The Distributed Generation Standard Contracts Act""",,RI Office of Energy Resources,http://www.ripuc.ri.gov/eventsactions/docket/4288-2013page.html
,"Report and Recommendation Regarding Classes and Ceiling Prices for 2012 submitted pursuant to ""The Distributed Generation Standard Contracts Act""",,RI Office of Energy Resources,http://www.ripuc.ri.gov/eventsactions/docket/4288-2012page.html
4287,Tariff Filing to implement a New Fire Protection Service Charge applicable to all customers who reside in the City of Providence,,Providence Water Supply Board,http://www.ripuc.ri.gov/eventsactions/docket/4287page.html
4286,Renewable Energy Resources (RES) Certification Application for Generation: Sheffield Wind Plant,,Vermont Wind LLC,http://www.ripuc.ri.gov/eventsactions/docket/4286-Sheffield(9-21-11).pdf
4285,Renewable Energy Resources (RES) Certification Application for Generation: Toray Solar #1,,Toray Plastics (America) Inc.,http://www.ripuc.ri.gov/eventsactions/docket/4285-ToraySolar(9-21-11).pdf
4284,2012 - 2014 Energy Efficiency Program Plans and System Reliabilty Annual Reports for Electric and Gas,,National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4284page.html
4283,2011 Annual Gas Cost Recovery Filing,,National Grid (Gas),http://www.ripuc.ri.gov/eventsactions/docket/4283page.html
4282,Tariff filing to grandfather Enhanced FlexGrow Service,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4282-VRI(9-1-11).pdf
4281,"Interconnection Agreement between Verizon Rhode Island and WiMacTel, Inc.",,Verizon Rhode Island,
4280,"Interconnection agreement between Verizon RI and Magellan Hill Technologies, LLC",,Verizon Rhode Island,
4279,Petition for Designation as an Eligible Telecommunications Carrier in RI,,True Wireless LLC,http://www.ripuc.ri.gov/eventsactions/docket/4279page.html
4278,Application for authority to transact as Class VI Telecommunication Service Provider,,True Wireless LLC,
,Distributed Generation Enrollment Application and Enrollment Process Rules for 2014,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4277-2014page.html
,Distributed Generation Enrollment Application and Enrollment Process Rules for 2013,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4277-2013page.html
,Distributed Generation Enrollment Application and Enrollment Process Rules for 2012,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4277-2012page.html
4276,Tariff advice filing to amend Standards for Connection Distributed Generation R.I.P.U.C. No. 2007,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4276page.html
4275,Renewable Energy Resources (RES) Certification Application for Generation: Red Bridge Project,,Essential Power LLC,http://www.ripuc.ri.gov/eventsactions/docket/4275page.html
4274,Renewable Energy Resources (RES) Certification Application for Generation: Stetson II Wind Farm,,First Wind O&amp;M LLC,http://www.ripuc.ri.gov/eventsactions/docket/4274-StetsonII-RESapp(8-17-11).pdf
4273,Renewable Energy Resources (RES) Certification Application for Generation: Stetson Wind Farm,,First Wind O&amp;M LLC,http://www.ripuc.ri.gov/eventsactions/docket/4273-StetsonRESapp(8-17-11).pdf
4272,Tariff filing to withdraw sections of PUC RI No. 15 concerning the Large System-Specific Pricing Plan and Customer Specific Pricing Contracts,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4272-VRI(8-18-11).pdf
4271,Tariff Advice Filing to Amend R.I.P.U.C. NG-GAS No. 101 to (Modify/Eliminate) Natural Gas Vehicle Serice (Rate 70),,National Grid Gas,http://www.ripuc.ri.gov/eventsactions/docket/4271page.html
4270,"Tariff Advice Filing Regarding Terms &amp; Conditions for Gas Marketers and the calculation of Gas Cost Recovery rates (R.I.P.U.C. NG-GAS No. 101, Sections 2, 5, and 6)",,National Grid Gas,http://www.ripuc.ri.gov/eventsactions/docket/4270page.html
4269,2011 Annual Distribution Adjustment Charge Filing,,National Grid Gas,http://www.ripuc.ri.gov/eventsactions/docket/4269page.html
4268,"Tariff Advice Filing for Approval of Net Metering Provision and to Amend R.I.P.U.C. No. 2035, QF Power Purchase Rate",,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4268page.html
4267,Application for authority as a Class VI Telecommunication Provider,,"Virgin Mobile, USA, LP",
4266,Application for authority as a Class VI Telecommunication Provider,,"Nexus Communications, Inc.",
4265,Review of Power Purchase Agreement with Orbit Energy Rhode Island LLC Pursuant to R.I.G.L. 39-26.1 et seq,,National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4265page.html
4264,"Interconnection agreement between Verizon RI and Halo Wireless Services, Inc.",,Verizon Rhode Island,
4263,Petition to Establish and Improve Railroad Crossings on the Newport Secondary Line in Portsmouth .,,Northern Waterfront L.P.,http://www.ripuc.ri.gov/eventsactions/docket/4263-NorthernWaterfront-Petition(3-13-12).pdf
4262,Tariff filing to waive the monthly rate and the reconnection charge for Temporary Suspension of Serivce when a customer's account includes Regional Essentials bundle with a FiOS product,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4262-VRI(6-16-11).pdf
4261,Tariff filing to increase Business Measured 1-Party Service from $22.95 to $23.95,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4261-VRI(6-16-11).pdf
4260,Tariff filing to increase rates for Digital Centrex Plus Service,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4260-VRI(6-16-11).pdf
4259,Tariff fiing to grandather Central Office Local Area Network Service,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4259-VRI(6-15-11).pdf
4258,Renewable Energy Resources (RES) Certification Application for Generation Unit: Glendale Hydropower,,Littleville Power Company Inc.,http://www.ripuc.ri.gov/eventsactions/docket/4258-GlendaleHydro-RES(6-14-11).pdf
4257,Renewable Energy Resources (RES) Certification Application for Generation Unit: Crescent Hydropower,,Littleville Power Company Inc.,http://www.ripuc.ri.gov/eventsactions/docket/4257-CrescentHydro-RES(6-14-11).pdf
4256,Waiver Request For Number Block Release,,Cox RI Telcom LLC,http://www.ripuc.ri.gov/eventsactions/docket/4256page.html
4255,"Rate application to collect additional operating revenue of $1,218,702 to support a total cost of service of $4,077,004",,United Water Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4255page.html
4254,Ship Tender Service Tariff Filing,,"Aquidneck Ferry &amp; Charter, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4254-Aquidneck-ShipTender(6-9-11).pdf
4253,Application for approval of 2011 seasonal ferry service tariff,,"Aquidneck Ferry &amp; Charter, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4253-Aquidneck-FerryTariff(6-9-11).pdf
4252,"Tariff Advice Filing to Amend R.I.P.U.C. No. 2072 to add Section 33, Billing Termination (""Soff-Off"") to its Terms and Conditions",,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4252page.html
4251,"Tariff Advice Filing to Amend R.I.P.U.C. NG-Gas No. 101 to add Section 3.1, Billing Termination (""Soff-Off"") to its Terms and Conditions",,National Grid Gas,http://www.ripuc.ri.gov/eventsactions/docket/4251page.html
4250,Petition for Designation as an Eligible Telecommunications Carrier in RI,,"Virgin Mobile USA, L.P.",http://www.ripuc.ri.gov/eventsactions/docket/4250page.html
4249,Application for authority as a Class VI Telecommunication Provider,,"YourTel America, Inc.",
4248,Tariff filing to make administrative changers to tariff,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4248-VRI(5-11-11).pdf
4247,Tariff filing for 2011Summer Season,,Jamestown &amp; Newport Ferry,http://www.ripuc.ri.gov/eventsactions/docket/4247-J&NFerry-Tariff(5-2-11).pdf
4246,Tariff filing to eliminate the minimum requirement of two lines for Digital Centrex Plus Service,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4246-VRI(5-5-11).pdf
4245,Tariff filing to modify the monthly discount associated with the Regional Essentials FiOS Bundle Discount II for new subscribers to the bundle,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4245-VRI(5-5-11).pdf
4244,Tariff filing to implement business rate increases,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4244-VRI(5-5-11).pdf
4243,"Multi-year rate plan application to collect total operating revenue requirement of $15,038,048 over four years",,Newport Water Division,http://www.ripuc.ri.gov/eventsactions/docket/4243page.html
4242,Complaint Regarding the Unlawful Refusal of Verizon RI to Pay Reciprocal Compensation Charges and Switched Access Charges and Verizon's Breach of Contract by Resorting to Unilateral Self-Help,,RNK Telecom,http://www.ripuc.ri.gov/eventsactions/docket/4242page.html
4241,Application for authority to transact as a Class VI provider of telecommunications service,,"Cintex Wireless, Inc.",
4240,Tariff filing to allow for the application of a surcharge to recover the Gross Reciepts Tax imposed on the Company,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4240page.html
4239,Petition for Designation as an Eligible Telecommunications Carrier for Low Income Support,,"YourTel America, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4239page.html
4238,Petition for Designation as an Eligible Telecommunications Carrier for Low Income Support,,"Nexus Communications, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4238page.html
4237,"I) Investigation Relating to Stray and Contact Voltage, and II) National Grid's Contact Voltage Filing and Compliance Reports",,Commission,http://www.ripuc.ri.gov/eventsactions/docket/4237page.html
4236,"Interconnection Agreement and Amendment between Verizon RI and Amecial Dial Tone, Inc.",,Verizon Rhode Island,
4235,Tariff filing to allow customers to use certain Business packages/bundles with unlimited calling for incidental facsimile use,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4235-VRI(4-1-11).pdf
4234,Proposal to introduce Regional Essentials Bundle Discount II,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4234-VRI(3-18-11).pdf
4233,Solutions for Business Bundle Additional Bundle Line - Plus or the Additional Bundle Line - Unlimited lines when the total lines in the bundle equal four or more,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4233-VRI(3-18-11).pdf
4232,Petition For Review of the Use of Backup Rates,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4232page.html
4231,Proposed rate increases to selected Private Line and Data Services,,Verizon RI,http://www.ripuc.ri.gov/eventsactions/docket/4231-VRI(3-2-11).pdf
4230,Tariff Advice Related to Residential Well Customers,,Narragansettt Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4230page.html
4229,Application for authority to operate a Competitive Local Exchange Carrier,,Peerless Network of RI LLC,
4228,Application for authority to operate a Competitive Local Exchange Carrier,,"GC Pivotal, LLC",
4227,Standard Offer Service (SOS) Procurement Plan for 2012 and Renewable Energy Supply (RES) Procurement Plan for 2012,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4227page.html
4226,2011 Annual Retail Rate and Reconciliation Filing and 2011 Renewable Energy Standard Charge Reconciliation Filing,,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4226page.html
4225,Application for authority to operate as Competitive Local Exhchange Carrier,,Windstream NuVox Inc,
4224,Petition for Designation as an Eligible Telecommunications Carrier in RI,,"Cintex Wireless, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4224page.html
4223,Tariff filing to proposed several changes to the Solutions for Business Bundle Package,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4223-VRI(1-7-11).pdf
4222,Tariff filing to proposed several changes to the Solutions for Business Bundle Package,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4222-VRI(1-7-11).pdf
4221,"Interconnection Agreement between Verizon RI and Cincinnati Bell Any Distance, Inc.",,Verizon Rhode Island,
4220,"Interconnection Agreement between Verizon RI and Intrado Communications, Inc.",,Verizon Rhode Island,
4219,"Proposed Gas Infrastructure, Safety and Reliability Plan (ISR) for FY 2012 submitted pursuant to R.I.G.L. § 39-1-27.7.1",,National Grid Gas,http://www.ripuc.ri.gov/eventsactions/docket/4219page.html
4218,"Proposed Electric Infrastructure, Safety and Reliability Plan (ISR) for FY 2012 submitted pursuant to R.I.G.L. § 39-1-27.7.1",,National Grid Electric,http://www.ripuc.ri.gov/eventsactions/docket/4218page.html
4217,Tariff filing to grandfather ISDN Primary Service 2- and 3-year Term &amp; Volume Pricing Plans,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4217-VRI(12-21-10).pdf
4216,Proposal to introduce Business Direct Bill Credit,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4216-VRI(12-16-10).pdf
4215,Proposed increase to monthly rates for business packages,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4215-VRI(12-16-10).pdf
4214,"Rate application to collect additional revenues of $2,521,655 or 3.21% for debt service requirements",,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4214page.html
4213,Tariff filing to withdraw the Auto-Attendant Redirecting feature of CUSTOM REDIRECT Service,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4213-VRI(12-1-10).pdf
4212,Tariff filing to modify the Verizon Client Advantage Program for Regulated Services,,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4212-VRI(12-1-10).pdf
4211,"Annual Retail Rate Reconciliation of the Standard Offer Service, Transmission Charge and Transition Charge",,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/4211page.html
4210,Application for authority a Competitive Local Exchange Carrier,,"WiMacTel, Inc.",
4209,Energy Efficiency Program Plan for 2011,,National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4209page.html
